artifact_key,artifact_name,exists_at_manifest_path,manifest_row_count,manifest_col_count,manifest_file_size,is_cache_artifact,is_report_artifact,cache_parquet_ignored_by_git,row_level_csv_generated_by_default,row_level_csv_tracked_by_git,pass
explore10_report,Explore10/outputs/explore10/reports/explore10_report.md,True,,,12461,False,True,True,False,False,True
explore10_manifest,Explore10/outputs/explore10/reports/explore10_run_manifest.json,True,,,22684,False,True,True,False,False,True
explore10_lgbm_train_eval_panel,Explore10/outputs/explore10/cache/explore10_lgbm_train_eval_panel.parquet,True,54029.0,411.0,22625804,True,False,True,False,False,True
explore10_atomic_launch_event_panel,Explore10/outputs/explore10/cache/explore10_atomic_launch_event_panel.parquet,True,11748.0,410.0,5870948,True,False,True,False,False,True
explore10_atomic_failure_decision_panel,Explore10/outputs/explore10/cache/explore10_atomic_failure_decision_panel.parquet,True,42281.0,410.0,16125962,True,False,True,False,False,True
p0_9b_report,Explore9/outputs/p0_9b/reports/p0_9b_report.md,True,,,16210,False,True,True,False,False,True
p0_9b_train_eval_panel,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_train_eval_panel.parquet,True,54029.0,240.0,4173694,True,False,True,False,False,True
p0_9b_prediction_panel,Explore9/outputs/p0_9b/cache/p0_9b_locked_t1_prediction_panel.parquet,True,12354.0,244.0,1951614,True,False,True,False,False,True
p0_9a_recommendation_summary,Explore9/outputs/p0_9a/reports/p0_9a_recommendation_summary.csv,True,1.0,6.0,228,False,True,True,False,False,True
p0_9a_trainability_contract_matrix,Explore9/outputs/p0_9a/reports/p0_9a_trainability_contract_matrix.csv,True,150.0,15.0,42895,False,True,True,False,False,True
p0_9a_sample_weight_group_cap_audit,Explore9/outputs/p0_9a/reports/p0_9a_sample_weight_group_cap_audit.csv,True,9709.0,12.0,2687535,False,True,True,False,False,True
universe_membership,Explore7/data/universe/pit_mcap500_mainboard_daily.csv,True,439140.0,16.0,86126985,False,True,True,False,False,True
industry_membership,Explore7/data/targets/pit_industry_membership.csv,True,439140.0,6.0,31641908,False,True,True,False,False,True
provider_uri,Explore7/data/qlib/cn_data_pit,True,,,0,False,True,True,False,False,True
feature_bank_v1_dictionary,Explore10/outputs/explore10/reports/explore10_atomic_feature_dictionary.csv,True,175.0,23.0,55563,False,True,True,False,False,True
feature_bank_v1_preflight,Explore10/outputs/explore10/reports/explore10_feature_bank_preflight_audit.csv,True,1.0,23.0,1336,False,True,True,False,False,True
explore10_scope_lock,Explore10/outputs/explore10/reports/explore10_scope_lock.csv,True,20.0,25.0,5853,False,True,True,False,False,True
explore10_trainability,Explore10/outputs/explore10/reports/explore10_fold_trainability_audit.csv,True,20.0,26.0,5728,False,True,True,False,False,True
