launch_family,declared_launch_pool,final_launch_pool,lifecycle_gate_bucket,event_count,episode_count,primary_entry_leaderboard_eligible_count,post_20_family_hold_only,primary_pre_30_early_confirmation_20_30_band,post_30_or_late_acceleration_hold_only
expansion_high_volatility,primary_pre_20_launch_pool,late_acceleration_hold_only_pool,post_30_or_late_acceleration_hold_only,2911,525,0,False,False,True
expansion_high_volatility,primary_pre_20_launch_pool,lifecycle_gate_rejected_or_hold_only,lifecycle_gate_rejected,1280,791,0,False,False,False
expansion_high_volatility,primary_pre_20_launch_pool,post_20_30_hold_only_pool,post_30_or_late_acceleration_hold_only,1195,655,0,False,False,True
expansion_high_volatility,primary_pre_20_launch_pool,primary_pre_20_launch_pool,primary_pre_20_lifecycle_gate_ok,2162,1112,2162,False,False,False
first_limit_up_like,sparse_strong_day_diagnostic_pool,late_acceleration_hold_only_pool,post_30_or_late_acceleration_hold_only,178,158,0,False,False,True
first_limit_up_like,sparse_strong_day_diagnostic_pool,post_20_30_hold_only_pool,post_30_or_late_acceleration_hold_only,187,183,0,False,False,True
first_limit_up_like,sparse_strong_day_diagnostic_pool,sparse_strong_day_diagnostic_pool,sparse_diagnostic_only,578,544,0,False,False,False
first_near_limit_up_like,sparse_strong_day_diagnostic_pool,late_acceleration_hold_only_pool,post_30_or_late_acceleration_hold_only,227,194,0,False,False,True
first_near_limit_up_like,sparse_strong_day_diagnostic_pool,post_20_30_hold_only_pool,post_30_or_late_acceleration_hold_only,214,212,0,False,False,True
first_near_limit_up_like,sparse_strong_day_diagnostic_pool,sparse_strong_day_diagnostic_pool,sparse_diagnostic_only,767,729,0,False,False,False
gap_up_upper_close,sparse_strong_day_diagnostic_pool,late_acceleration_hold_only_pool,post_30_or_late_acceleration_hold_only,414,237,0,False,False,True
gap_up_upper_close,sparse_strong_day_diagnostic_pool,post_20_30_hold_only_pool,post_30_or_late_acceleration_hold_only,233,210,0,False,False,True
gap_up_upper_close,sparse_strong_day_diagnostic_pool,sparse_strong_day_diagnostic_pool,sparse_diagnostic_only,651,510,0,False,False,False
high_vol_money_upper_close,primary_pre_20_launch_pool,late_acceleration_hold_only_pool,post_30_or_late_acceleration_hold_only,1487,471,0,False,False,True
high_vol_money_upper_close,primary_pre_20_launch_pool,lifecycle_gate_rejected_or_hold_only,lifecycle_gate_rejected,876,655,0,False,False,False
high_vol_money_upper_close,primary_pre_20_launch_pool,post_20_30_hold_only_pool,post_30_or_late_acceleration_hold_only,837,567,0,False,False,True
high_vol_money_upper_close,primary_pre_20_launch_pool,primary_pre_20_launch_pool,primary_pre_20_lifecycle_gate_ok,1458,938,1458,False,False,False
post_20pct_relative_strength,post_20_30_hold_only_pool,late_acceleration_hold_only_pool,post_30_or_late_acceleration_hold_only,21184,712,0,False,False,True
post_20pct_relative_strength,post_20_30_hold_only_pool,post_20_30_hold_only_pool,post_20_family_hold_only,17161,1735,0,True,False,False
post_20pct_relative_strength,post_20_30_hold_only_pool,post_20_30_hold_only_pool,post_30_or_late_acceleration_hold_only,18772,1265,0,False,False,True
post_30pct_relative_strength,post_20_30_hold_only_pool,late_acceleration_hold_only_pool,post_30_or_late_acceleration_hold_only,21372,708,0,False,False,True
post_30pct_relative_strength,post_20_30_hold_only_pool,post_20_30_hold_only_pool,post_30_or_late_acceleration_hold_only,20219,1295,0,False,False,True
rank_jump_leadership,primary_pre_30_launch_pool,late_acceleration_hold_only_pool,post_30_or_late_acceleration_hold_only,1743,416,0,False,False,True
rank_jump_leadership,primary_pre_30_launch_pool,post_20_30_hold_only_pool,post_30_or_late_acceleration_hold_only,1790,672,0,False,False,True
rank_jump_leadership,primary_pre_30_launch_pool,primary_pre_30_launch_pool,primary_or_declared_pool_ok,4088,1512,4088,False,False,False
rank_jump_leadership,primary_pre_30_launch_pool,primary_pre_30_launch_pool,primary_pre_30_early_confirmation_20_30_band,1921,847,1921,False,True,False
repair_reclaim,primary_pre_20_launch_pool,late_acceleration_hold_only_pool,post_30_or_late_acceleration_hold_only,1260,383,0,False,False,True
repair_reclaim,primary_pre_20_launch_pool,lifecycle_gate_rejected_or_hold_only,lifecycle_gate_rejected,1804,917,0,False,False,False
repair_reclaim,primary_pre_20_launch_pool,post_20_30_hold_only_pool,post_30_or_late_acceleration_hold_only,417,303,0,False,False,True
repair_reclaim,primary_pre_20_launch_pool,primary_pre_20_launch_pool,primary_pre_20_lifecycle_gate_ok,12761,4102,12761,False,False,False
strong_body_day,sparse_strong_day_diagnostic_pool,late_acceleration_hold_only_pool,post_30_or_late_acceleration_hold_only,2361,557,0,False,False,True
strong_body_day,sparse_strong_day_diagnostic_pool,post_20_30_hold_only_pool,post_30_or_late_acceleration_hold_only,1292,785,0,False,False,True
strong_body_day,sparse_strong_day_diagnostic_pool,sparse_strong_day_diagnostic_pool,sparse_diagnostic_only,4275,1904,0,False,False,False
