signal_id,signal_type,family_id,condition_group_id,required_family_set,condition_text,source_coverage_pct,source_density_pct,source_mean_first_hit,source_median_first_hit,source_split_stability,upstream_coverage_t0_t30,upstream_eligible_day_density,upstream_median_earliest_hit_offset,lineage_check_status
review_momentum_oscillator_pullback_volume,same_day_family_and4,,,momentum_rps|oscillator|pullback_drawdown|volume_money,momentum_rps AND oscillator AND pullback_drawdown AND volume_money,,,,,,,,,not_applicable_composite
review_momentum_oscillator_range_volume,same_day_family_and4,,,momentum_rps|oscillator|range_breakout|volume_money,momentum_rps AND oscillator AND range_breakout AND volume_money,,,,,,,,,not_applicable_composite
review_momentum_pullback_volatility_volume,same_day_family_and4,,,momentum_rps|pullback_drawdown|volatility_band|volume_money,momentum_rps AND pullback_drawdown AND volatility_band AND volume_money,,,,,,,,,not_applicable_composite
review_oscillator_pullback_volatility_volume,same_day_family_and4,,,oscillator|pullback_drawdown|volatility_band|volume_money,oscillator AND pullback_drawdown AND volatility_band AND volume_money,,,,,,,,,not_applicable_composite
single_momentum_rps,single_family,momentum_rps,momentum_rps__and3__68b32373ce93,,roc5_r02 >= 0.05 AND rps5_r02 >= 0.8 AND rps10_r02 >= 0.5,85.09,11.16,9.2,8.0,robustness 83.82% below 85%,0.850887573964497,0.1115871578659841,8.0,passed
single_oscillator,single_family,oscillator,oscillator__and4__95dbd99ae828,,kdj_k5_r02 >= 60 AND cci5_r02 >= 100 AND kdj_k10_r02 >= 55 AND cci10_r02 >= 150,85.09,5.85,11.3,11.0,validation 82.91% below 85%,0.850887573964497,0.0585048534849488,11.0,passed
single_price_trend,single_family,price_trend,price_trend__and3__6030760ed19f,,close_over_ma5_r02 >= 0.03 AND ema_slope5_r02 >= 0.0 AND close_over_ma10_r02 >= 0.03,86.15,8.75,9.3,7.0,validation 82.28% below 85%,0.8615384615384616,0.0874891877810544,7.0,passed
single_pullback_drawdown,single_family,pullback_drawdown,pullback_drawdown__and3__11795aa42e45,,pullback_depth5_r02 >= -0.05 AND rebound_from_low5_r02 >= 0.05 AND days_since_high10_r02 <= 5,90.3,14.28,8.8,7.0,all splits above 88%,0.9029585798816568,0.1427617568654428,7.0,passed
single_range_breakout,single_family,range_breakout,range_breakout__and3__00e51295d9c3,,range_position5_r02 >= 0.9 AND new_high_flag10_r02 == 1.0 AND range_position10_r02 >= 0.7,96.8,17.37,8.0,7.0,all splits above 95%,0.9680473372781064,0.1737441386392032,7.0,passed
single_volatility_band,single_family,volatility_band,volatility_band__and4__ef9c875dde10,,boll_pct_b5_r02 >= 0.8 AND boll_width5_r02 >= 1.0 AND boll_width10_r02 >= 1.0 AND price_channel_position10_r02 >= 0.8,85.21,7.14,10.1,8.0,train 83.41% below 85%,0.8520710059171598,0.0713505283444532,8.0,passed
single_volume_money,single_family,volume_money,volume_money__and4__4eb7a99e922f,,volume_ratio5_r02 >= 1.5 AND money_zscore5_r02 >= 2.0 AND money_price_coherence5_r02 == 1.0 AND money_price_coherence10_r02 == 1.0,88.17,5.77,11.8,11.0,all splits above 86%,0.8816568047337278,0.0576803427536635,11.0,passed
